figure,panel,figure_piece,script,plot_id,builder,code_kind,data_rows,n_cells
Figure 4,C,Figure 4C (3) G6ten_withincell_over_time__p15,Figure 4C (3) G6ten_withincell_over_time__p15.py,G6ten_withincell_over_time__p15,G6ten_withincell_over_time__G6ten_withincell_over_time__kt_tension_withincell.py,archived copy,3188,50
Figure 4,D,Figure 4D (1) G7kymo_20250401_ptk_yfpcdc20_28__8,Figure 4D (1) G7kymo_20250401_ptk_yfpcdc20_28__8.py,G7kymo_20250401_ptk_yfpcdc20_28__8,G7kymo_20250401_ptk_yfpcdc20_28__8__custom_kymographs_20260820.py,archived copy,58,1
Figure 4,D,Figure 4D (2) G7kymo_20250401_ptk_yfpcdc20_28__10,Figure 4D (2) G7kymo_20250401_ptk_yfpcdc20_28__10.py,G7kymo_20250401_ptk_yfpcdc20_28__10,G7kymo_20250401_ptk_yfpcdc20_28__10__custom_kymographs_20260820.py,archived copy,36,1
Figure 4 - Supplement 1,B,Figure 4 - Supplement 1B,Figure 4 - Supplement 1B.py,G6trk_circ_vs_ttana,G6trk_circ_vs_ttana__kt_track_plots.py,archived copy,1041,28
Figure 4 - Supplement 1,C,Figure 4 - Supplement 1C,Figure 4 - Supplement 1C.py,G6time_area,G6time_area__kt_time_trajectories.py,archived copy,7312,51
Figure 4 - Supplement 1,D,Figure 4 - Supplement 1D (1) G5shape_circularity,Figure 4 - Supplement 1D (1) G5shape_circularity.py,G5shape_circularity,G5shape_circularity__kt_shape_plots.py,archived copy,4412,66
Figure 4 - Supplement 1,D,Figure 4 - Supplement 1D (2) G6tenM_strain_over_time,Figure 4 - Supplement 1D (2) G6tenM_strain_over_time.py,G6tenM_strain_over_time,G6tenM_strain_over_time__kt_tension_metaphase.py,archived copy,3033,32
Figure 4 - Supplement 1,E,Figure 4 - Supplement 1E,Figure 4 - Supplement 1E.py,G6timeMA_dist,G6timeMA_dist__kt_time_meta2ana.py,archived copy,3161,30
Figure 4 - Supplement 1,F,Figure 4 - Supplement 1F,Figure 4 - Supplement 1F.py,G6tenM_flatness_polar_vs_paired,G6tenM_flatness_polar_vs_paired__kt_tension_metaphase.py,archived copy,22,22
Figure 5,B,Figure 5B (1) kk_osc_about_plate,Figure 5B (1) kk_osc_about_plate.py,kk_osc_about_plate,kk_osc_refined.py,live builder (no archived copy),115,27
Figure 5,B,Figure 5B (2) kk_osc_model,Figure 5B (2) kk_osc_model.py,kk_osc_model,kk_osc_refined.py,live builder (no archived copy),115,27
Figure 5,B,Figure 5B (3) G7_prometa_single_vs_meta_triple__p4,Figure 5B (3) G7_prometa_single_vs_meta_triple__p4.py,G7_prometa_single_vs_meta_triple__p4,G7_prometa_single_vs_meta_triple__G7_prometa_single_vs_meta_triple__20260808.py,archived copy,137,254
Figure 5,B,Figure 5B (4) G7_prometa_single_vs_meta_triple__p3,Figure 5B (4) G7_prometa_single_vs_meta_triple__p3.py,G7_prometa_single_vs_meta_triple__p3,G7_prometa_single_vs_meta_triple__G7_prometa_single_vs_meta_triple__20260808.py,archived copy,137,254
Figure 5,C,Figure 5C,Figure 5C.py,G6tenM_equivalent_kk_over_time,G6tenM_equivalent_kk_over_time__kt_tension_metaphase.py,archived copy,1739,26
Figure 5,D,Figure 5D,Figure 5D.py,G2_dur_ana_to_cyto_journal,G2_dur_ana_to_cyto_journal__group2_build.py,archived copy,154,154
Figure 5,E,Figure 5E (1) G5_lagging_behaviour_1_vs_3__p1,Figure 5E (1) G5_lagging_behaviour_1_vs_3__p1.py,G5_lagging_behaviour_1_vs_3__p1,G5_lagging_behaviour_1_vs_3__G5_lagging_recoverable_strain__G5_lagging_recoverable_strain__custom_lagging_dynamics_20260804.py,archived copy,135,229
Figure 5,E,Figure 5E (2) G5_lagging_behaviour_1_vs_3__p5,Figure 5E (2) G5_lagging_behaviour_1_vs_3__p5.py,G5_lagging_behaviour_1_vs_3__p5,G5_lagging_behaviour_1_vs_3__G5_lagging_recoverable_strain__G5_lagging_recoverable_strain__custom_lagging_dynamics_20260804.py,archived copy,135,229
Figure 5,E,Figure 5E (3) G7_prometa_single_vs_meta_triple__p1,Figure 5E (3) G7_prometa_single_vs_meta_triple__p1.py,G7_prometa_single_vs_meta_triple__p1,G7_prometa_single_vs_meta_triple__G7_prometa_single_vs_meta_triple__20260808.py,archived copy,137,254
Figure 5 - Supplement 1,A,Figure 5 - Supplement 1A,Figure 5 - Supplement 1A.py,G7_prometa_single_vs_meta_triple__p2,G7_prometa_single_vs_meta_triple__G7_prometa_single_vs_meta_triple__20260808.py,archived copy,137,254
Figure 5 - Supplement 1,B,Figure 5 - Supplement 1B,Figure 5 - Supplement 1B.py,G6tenM_chromolen_covariates__p2,G6tenM_chromolen_covariates__G6tenM_strain_over_time__kt_tension_metaphase.py,archived copy,5,53
Figure 5 - Supplement 1,C,Figure 5 - Supplement 1C,Figure 5 - Supplement 1C.py,G4_sisterless_oscillation_phases,G4_sisterless_oscillation_phases__G4_sisterless_oscillation_vs_length__custom_sisterless_movement.py,archived copy,38,229
Figure 5 - Supplement 1,D,Figure 5 - Supplement 1D (1) G8kymo_kk_20250401_ptk_yfpcdc20_28__10_9,Figure 5 - Supplement 1D (1) G8kymo_kk_20250401_ptk_yfpcdc20_28__10_9.py,G8kymo_kk_20250401_ptk_yfpcdc20_28__10_9,G8kymo_kk_20250401_ptk_yfpcdc20_28__10_9__custom_kymographs_20260820.py,archived copy,35,1
Figure 5 - Supplement 1,D,Figure 5 - Supplement 1D (2) G8kymo_kk_20250904_triple_ablation_8__6_8,Figure 5 - Supplement 1D (2) G8kymo_kk_20250904_triple_ablation_8__6_8.py,G8kymo_kk_20250904_triple_ablation_8__6_8,G8kymo_kk_20250904_triple_ablation_8__6_8__custom_kymographs_20260820.py,archived copy,74,1
Figure 5 - Supplement 1,D,Figure 5 - Supplement 1D (3) G8kymo_kk_20250901_triple_ablation_11__13_14,Figure 5 - Supplement 1D (3) G8kymo_kk_20250901_triple_ablation_11__13_14.py,G8kymo_kk_20250901_triple_ablation_11__13_14,G8kymo_kk_20250901_triple_ablation_11__13_14__custom_kymographs_20260820.py,archived copy,82,1
Figure 6,A,Figure 6A,Figure 6A.py,G1_measure_coll3_strips,G1_measure_coll3_strips__custom_todo0819_measure_strips.py,archived copy,20,1
Figure 6,B,Figure 6B (1) G1_area_combined_meta_trendscaled_delta_nocollagen,Figure 6B (1) G1_area_combined_meta_trendscaled_delta_nocollagen.py,G1_area_combined_meta_trendscaled_delta_nocollagen,G1_area_combined_meta_trendscaled_delta_nocollagen__custom_delta_axis_variants_20260816.py,archived copy,593,110
Figure 6,B,Figure 6B (2) G1_roundness_combined_meta_trendscaled_delta_nocollagen,Figure 6B (2) G1_roundness_combined_meta_trendscaled_delta_nocollagen.py,G1_roundness_combined_meta_trendscaled_delta_nocollagen,G1_roundness_combined_meta_trendscaled_delta_nocollagen__custom_delta_axis_variants_20260816.py,archived copy,593,110
Figure 6,B,Figure 6B (3) G1_plate_rotation_combined_meta_trendscaled_delta_nocollagen,Figure 6B (3) G1_plate_rotation_combined_meta_trendscaled_delta_nocollagen.py,G1_plate_rotation_combined_meta_trendscaled_delta_nocollagen,G1_plate_rotation_combined_meta_trendscaled_delta_nocollagen__custom_delta_axis_variants_20260816.py,archived copy,2317,45
Figure 6,B,Figure 6B (4) G1_centroid_movement_combined_meta_trendscaled_delta_nocollagen,Figure 6B (4) G1_centroid_movement_combined_meta_trendscaled_delta_nocollagen.py,G1_centroid_movement_combined_meta_trendscaled_delta_nocollagen,G1_centroid_movement_combined_meta_trendscaled_delta_nocollagen__custom_delta_axis_variants_20260816.py,archived copy,594,110
Figure 6,B,Figure 6B (5) G1_centroid_movement_combined_meta_trendscaled_delta_collagen_vs_3,Figure 6B (5) G1_centroid_movement_combined_meta_trendscaled_delta_collagen_vs_3.py,G1_centroid_movement_combined_meta_trendscaled_delta_collagen_vs_3,G1_centroid_movement_combined_meta_trendscaled_delta_collagen_vs_3__custom_delta_axis_variants_20260816.py,archived copy,152,25
Figure 6,B,Figure 6B (6) G1_roundness_combined_meta_trendscaled_delta_collagen_vs_3,Figure 6B (6) G1_roundness_combined_meta_trendscaled_delta_collagen_vs_3.py,G1_roundness_combined_meta_trendscaled_delta_collagen_vs_3,G1_roundness_combined_meta_trendscaled_delta_collagen_vs_3__custom_delta_axis_variants_20260816.py,archived copy,152,25
Figure 6,B,Figure 6B (7) G1_area_combined_meta_trendscaled_delta_collagen_vs_3,Figure 6B (7) G1_area_combined_meta_trendscaled_delta_collagen_vs_3.py,G1_area_combined_meta_trendscaled_delta_collagen_vs_3,G1_area_combined_meta_trendscaled_delta_collagen_vs_3__custom_delta_axis_variants_20260816.py,archived copy,152,25
Figure 6,B,Figure 6B (8) G1_plate_rotation_combined_meta_trendscaled_delta_collagen_vs_3,Figure 6B (8) G1_plate_rotation_combined_meta_trendscaled_delta_collagen_vs_3.py,G1_plate_rotation_combined_meta_trendscaled_delta_collagen_vs_3,G1_plate_rotation_combined_meta_trendscaled_delta_collagen_vs_3__custom_delta_axis_variants_20260816.py,archived copy,1643,23
Figure 6,C,Figure 6C,Figure 6C.py,G1_collagen_duration_dist,G1_collagen_duration_dist__custom_todo0819_collagen_table_figs.py,archived copy,26,26
Figure 6,D,Figure 6D,Figure 6D.py,G6_polepole_approx_absolute_time,G6_polepole_approx_absolute_time__custom_new_figures_20260804.py,archived copy,2120,45
Figure 6,E,Figure 6E,Figure 6E.py,G2_dur_align_to_meta_journal,G2_dur_align_to_meta_journal__group2_build.py,archived copy,104,104
Figure 6 - Supplement 1,A,Figure 6 - Supplement 1A (1) G1_area_combined_abl2meta_trendscaled,Figure 6 - Supplement 1A (1) G1_area_combined_abl2meta_trendscaled.py,G1_area_combined_abl2meta_trendscaled,G1_area_combined_abl2meta_trendscaled__group1_roundness.py,archived copy,332,84
Figure 6 - Supplement 1,A,Figure 6 - Supplement 1A (2) G1_centroid_movement_combined_abl2meta_trendscaled,Figure 6 - Supplement 1A (2) G1_centroid_movement_combined_abl2meta_trendscaled.py,G1_centroid_movement_combined_abl2meta_trendscaled,G1_centroid_movement_combined_abl2meta_trendscaled__group1_roundness.py,archived copy,332,84
Figure 6 - Supplement 1,B,Figure 6 - Supplement 1B,Figure 6 - Supplement 1B.py,G1_centroid_movement_combined_meta,G1_centroid_movement_combined_meta__group1_roundness.py,archived copy,631,117
Figure 6 - Supplement 1,D,Figure 6 - Supplement 1D (1) G1_roundness_combined_abl2meta_trendscaled,Figure 6 - Supplement 1D (1) G1_roundness_combined_abl2meta_trendscaled.py,G1_roundness_combined_abl2meta_trendscaled,G1_roundness_combined_abl2meta_trendscaled__group1_roundness.py,archived copy,250,69
Figure 6 - Supplement 1,D,Figure 6 - Supplement 1D (2) G1_collagen_duration_percell,Figure 6 - Supplement 1D (2) G1_collagen_duration_percell.py,G1_collagen_duration_percell,G1_collagen_duration_percell__custom_todo0819_collagen_table_figs.py,archived copy,26,26
Figure 6 - Supplement 1,D,Figure 6 - Supplement 1D (3) G1_roundness_collagen_vs_pooled_abl2meta,Figure 6 - Supplement 1D (3) G1_roundness_collagen_vs_pooled_abl2meta.py,G1_roundness_collagen_vs_pooled_abl2meta,G1_roundness_collagen_vs_pooled_abl2meta__group1_roundness.py,archived copy,260,72
Figure 6 - Supplement 1,D,Figure 6 - Supplement 1D (4) G1_plate_rotation_combined_meta,Figure 6 - Supplement 1D (4) G1_plate_rotation_combined_meta.py,G1_plate_rotation_combined_meta,G1_plate_rotation_combined_meta__group1_roundness.py,archived copy,2737,52
Figure 6 - Supplement 2,A,Figure 6 - Supplement 2A (1) G3_origin_position__p1,Figure 6 - Supplement 2A (1) G3_origin_position__p1.py,G3_origin_position__p1,G3_origin_position__G3_origin_position__group3_build.py,archived copy,91,50
Figure 6 - Supplement 2,A,Figure 6 - Supplement 2A (2) G3_origin_position__p2,Figure 6 - Supplement 2A (2) G3_origin_position__p2.py,G3_origin_position__p2,G3_origin_position__G3_origin_position__group3_build.py,archived copy,91,50
Figure 6 - Supplement 2,A,Figure 6 - Supplement 2A (3) G3_origin_position__p3,Figure 6 - Supplement 2A (3) G3_origin_position__p3.py,G3_origin_position__p3,G3_origin_position__G3_origin_position__group3_build.py,archived copy,91,50
Figure 6 - Supplement 2,B,Figure 6 - Supplement 2B,Figure 6 - Supplement 2B.py,G1_start_rounded_metaphase,G1_start_rounded_metaphase__group1_roundness.py,archived copy,124,124
Figure 7,B,Figure 7B,Figure 7B.py,G2_kk_distance_by_phase,G2_kk_distance_by_phase__group2_kk.py,archived copy,120,68
Figure 7,C,Figure 7C,Figure 7C.py,nf9_1-sisterless__20250930_four_ablation_59,nf9_1-sisterless__20250930_four_ablation_59__group_timestrips.py,archived copy,8,1
Figure 7,D,Figure 7D,Figure 7D.py,G2_noc_washout_vs_prophase,G2_noc_washout_vs_prophase__custom_noc_washout_v2_20260722.py,archived copy,135,229
Figure 7,E,Figure 7E,Figure 7E.py,G7_prophase_vs_prometaphase_triple__p1,G7_prophase_vs_prometaphase_triple__G7_prophase_vs_prometaphase_triple__G7_prophase_vs_prometaphase_triple__G7_prophase_vs_prometaphase_triple__20260808.py,archived copy,2697,16
Figure 7,F,Figure 7F,Figure 7F.py,G3_lagging_by_creation_phase,G3_lagging_by_creation_phase__custom_creation_time_vs_behavior.py,archived copy,4,229
Figure 7 - Supplement 1,A,Figure 7 - Supplement 1A,Figure 7 - Supplement 1A.py,G3_creation_phase_vs_behavior,G3_creation_phase_vs_behavior__custom_creation_time_vs_behavior.py,archived copy,4,229
